cast,average rating,total length of movie runtimes,number of movies stared in
 Ellen Page,81.0,148,1
 Megumi Hayashibara,81.0,87,1
 Koichi Yamadera,81.0,87,1
 Akira Ishida,81.0,87,1
 Kotono Mitsuishi,81.0,87,1
 Miki Nagasawa,81.0,87,1
 Paolo Stoppa,81.0,166,1
 Jason Robards,81.0,166,1
 Motomu Kiyokawa,81.0,87,1
 Hiro Yuki,81.0,87,1
 Charles Bronson,81.0,166,1
 Claudia Cardinale,81.0,166,1
 Mugihito,81.0,87,1
Leonardo DiCaprio,81.0,148,1
 Woody Strode,81.0,166,1
 Takehito Koyasu,81.0,87,1
 Yuriko Yamaguchi,81.0,87,1
 Keenan Wynn,81.0,166,1
 Frank Wolff,81.0,166,1
Megumi Ogata,81.0,87,1
Henry Fonda,81.0,166,1
 Jack Elam,81.0,166,1
 Fumihiko Tachiki,81.0,87,1
 Tom Hardy,81.0,148,1
 Gabriele Ferzetti,81.0,166,1
 Lionel Stander,81.0,166,1
 Marion Cotillard,81.0,148,1
 Joseph Gordon-Levitt,81.0,148,1
 Tom Berenger,81.0,148,1
 Maria Kawamura,81.0,87,1
 Lukas Haas,81.0,148,1
 Yuko Miyamura,81.0,87,1
 Dileep Rao,81.0,148,1
 Ian McKellen,80.5,380,2
 Bernard Hill,80.5,380,2
 Dominic Monaghan,80.5,380,2
 Viggo Mortensen,80.5,380,2
 Liv Tyler,80.5,380,2
 Billy Boyd,80.5,380,2
 Daniel Brühl,79.0,153,1
 Marcus Chong,79.0,136,1
 Sylvester Groth,79.0,153,1
 Belinda McClory,79.0,136,1
 Christoph Waltz,79.0,153,1
 Mélanie Laurent,79.0,153,1
 Matt Doran,79.0,136,1
 Eli Roth,79.0,153,1
 Til Schweiger,79.0,153,1
 Julian Arahanga,79.0,136,1
 Martin Wuttke,79.0,153,1
 B.J. Novak,79.0,153,1
 John Rhys-Davies,79.0,507,3
 Jacky Ido,79.0,153,1
 Gedeon Burkhard,79.0,153,1
 Michael Palin,78.0,92,1
Graham Chapman,78.0,92,1
 Terry Gilliam,78.0,92,1
 Eric Idle,78.0,92,1
 Connie Booth,78.0,92,1
 Carol Cleveland,78.0,92,1
 Terry Jones,78.0,92,1
 Neil Innes,78.0,92,1
 Giancarlo Esposito,77.0,121,1
 Dong-seok Ma,77.0,118,1
 Tim Pigott-Smith,77.0,132,1
 Natasha Wightman,77.0,132,1
 Michael Parks,77.0,137,1
 Daryl Hannah,77.0,248,2
 Devon Bostick,77.0,121,1
 Steven Yeun,77.0,121,1
 David Carradine,77.0,248,2
 Helen Kim,77.0,137,1
 Yoon Je Moon,77.0,121,1
 Gordon Liu,77.0,248,2
Gong Yoo,77.0,118,1
 Julie Dreyfus,77.0,111,1
 Roger Allam,77.0,132,1
 Byun Heebong,77.0,121,1
 Yu-mi Jung,77.0,118,1
 Vivica A. Fox,77.0,111,1
 Stephen Rea,77.0,132,1
 Soo-an Kim,77.0,118,1
 Claire Smithies,77.0,137,1
 Paul Dano,77.0,121,1
 Eui-sung Kim,77.0,118,1
 Shirley Henderson,77.0,121,1
 Sinéad Cusack,77.0,132,1
 Woo Shik Choi,77.0,239,2
 Jake Gyllenhaal,77.0,121,1
 Daniel Henshall,77.0,121,1
Natalie Portman,77.0,132,1
 Sohee,77.0,118,1
Tilda Swinton,77.0,121,1
 Sonny Chiba,77.0,111,1
 Chiaki Kuriyama,77.0,111,1
 Clark Middleton,77.0,137,1
 Rupert Graves,77.0,132,1
 Lily Collins,77.0,121,1
 Perla Haney-Jardine,77.0,137,1
Uma Thurman,77.0,248,2
 Stephen Fry,77.0,132,1
 An Seo Hyun,77.0,121,1
 Orlando Bloom,76.66666666666667,543,3
 Etienne Chicot,76.0,100,1
 Sean Connery,76.0,127,1
 River Phoenix,76.0,127,1
 Denholm Elliott,76.0,127,1
Samuel L. Jackson,76.0,168,1
Diogo Morgado,76.0,100,1
 Julian Glover,76.0,127,1
 Walton Goggins,76.0,168,1
 Abeer Abrar,76.0,214,1
 Tim Roth,76.0,168,1
 Zoë Bell,76.0,168,1
 Raza Murad,76.0,214,1
 James Parks,76.0,168,1
 Paulo Gorgulho,76.0,100,1
 Deto Montenegro,76.0,100,1
 Aishwarya Rai Bachchan,76.0,214,1
 Robert Eddison,76.0,127,1
 Bruce Dern,76.0,168,1
 Jonas Leite,76.0,100,1
 Dana Gourrier,76.0,168,1
 Igor Galvão,76.0,100,1
 Will Roberts,76.0,100,1
 Demián Bichir,76.0,168,1
 Ila Arun,76.0,214,1
 Maria de Medeiros,76.0,100,1
 Kevork Malikyan,76.0,127,1
 Suhasini Mulay,76.0,214,1
Hrithik Roshan,76.0,214,1
 Jennifer Jason Leigh,76.0,168,1
 Alison Doody,76.0,127,1
 Eduardo Galvão,76.0,100,1
 Allan Lima,76.0,100,1
 Poonam Sinha,76.0,214,1
 Kulbhushan Kharbanda,76.0,214,1
Elijah Wood,75.66666666666667,460,3
 Phyllida Law,75.0,96,1
 Joe Spinell,75.0,120,1
 Hiroyuki Ikeuchi,75.0,107,1
 Burgess Meredith,75.0,120,1
 Jeremy Irons,75.0,96,1
 Wong You-nam,75.0,107,1
 Nick Moran,75.0,108,1
 Omero Mumba,75.0,96,1
 Carl Weathers,75.0,120,1
 Nick Marcq,75.0,108,1
 Jimmy Gambina,75.0,120,1
 Burt Young,75.0,120,1
 Nicholas Rowe,75.0,108,1
 Charles Forbes,75.0,108,1
 Dexter Fletcher,75.0,108,1
 Steven Mackintosh,75.0,108,1
Jason Flemyng,75.0,108,1
 Lenny McLean,75.0,108,1
 Thayer David,75.0,120,1
 Lam Ka Tung,75.0,107,1
 Samantha Mumba,75.0,96,1
 Alan Young,75.0,96,1
Guy Pearce,75.0,96,1
Sylvester Stallone,75.0,120,1
 Bill Baldwin,75.0,120,1
 Talia Shire,75.0,120,1
 Mark Addy,75.0,96,1
 Jürgen Prochnow,74.0,95,1
 Heinz Lieven,74.0,95,1
 Oscar Isaac,74.0,100,1
 Christina Hendricks,74.0,100,1
 Henry Czerny,74.0,95,1
 Carey Mulligan,74.0,100,1
 Kaden Leos,74.0,100,1
Ryan Gosling,74.0,100,1
 Jeff Wolfe,74.0,100,1
 Bruno Ganz,74.0,95,1
Brad Pitt,74.0,316,2
 Dean Norris,74.0,95,1
 James Biberi,74.0,100,1
Christopher Plummer,74.0,95,1
 Sean Astin,73.69586374695864,489,3
 Louis Fan,73.5,215,2
 Angel David,73.0,102,1
Bruce Lee,73.0,103,1
 Danny Sapani,73.0,108,1
Noomi Rapace,73.0,124,1
 Charlie Kelly,73.0,108,1
 Anna Levine,73.0,102,1
 Mandla Gaduka,73.0,112,1
 Angela Mao,73.0,103,1
 Kien Shih,73.0,103,1
Brandon Lee,73.0,102,1
 William Allen Young,73.0,112,1
 Sofia Shinas,73.0,102,1
 Laurence Mason,73.0,102,1
 Conor MacNeill,73.0,108,1
 Conor Quinlan,73.0,108,1
 Eugene Khumbanyiwa,73.0,112,1
 Peter Archer,73.0,103,1
 Louis Minnaar,73.0,112,1
 Ahna Capri,73.0,103,1
 Clara Read,73.0,124,1
 Vanessa Haywood,73.0,112,1
 Emmanuelle Seigner,73.0,108,1
 Jason Cope,73.0,112,1
 Jason O'Mara,73.0,108,1
 Jim Kelly,73.0,103,1
 Fionn O'Shea,73.0,108,1
 Christian Rubeck,73.0,124,1
 Nathalie Boltt,73.0,112,1
 Ernie Hudson,73.0,102,1
 Marwan Kenzari,73.0,124,1
 Betty Chung,73.0,103,1
 Robert Wall,73.0,103,1
 Rochelle Davis,73.0,102,1
 Mikael Persbrandt,73.0,108,1
 Kenneth Nkosi,73.0,112,1
 David Patrick Kelly,73.0,102,1
 Jon Polito,73.0,102,1
 Michael Wincott,73.0,102,1
 Cameron Jack,73.0,124,1
 David James,73.0,112,1
 Bolo Yeung,73.0,103,1
 Guillaume Canet,73.0,108,1
 John Saxon,73.0,103,1
 Pål Sverre Hagen,73.0,124,1
 Cassie Clare,73.0,124,1
 Ronan Raftery,73.0,108,1
 Geoffrey Weeks,73.0,103,1
 Michael Massee,73.0,102,1
 Michael McElhatton,73.0,108,1
 Jordan Mifsud,73.0,108,1
 Glenn Close,73.0,124,1
Jamie Dornan,73.0,108,1
 Tomiwa Edun,73.0,124,1
 Tony Todd,73.0,102,1
 Gloria Foster,73.0,274,2
 Cate Blanchett,72.66666666666667,503,3
 Henry Cavill,72.5852534562212,113,1
 Glen Powell,72.5852534562212,113,1
 Sammy Sheik,72.5852534562212,113,1
 Gonzalo Menendez,72.5852534562212,113,1
 Beau Knapp,72.5852534562212,113,1
Nicholas Hoult,72.5852534562212,113,1
 Logan Marshall-Green,72.5852534562212,113,1
 Neil Brown Jr.,72.5852534562212,113,1
 Michael Fassbender,72.5,237,2
 Hugo Weaving,72.33333333333333,908,6
 Tom Guiry,72.0,144,1
 Jaime FitzSimons,72.0,109,1
 Jack Kelly,72.0,98,1
 Shondrella Avery,72.0,109,1
 Glenn Morshower,72.0,144,1
 De Ming Wang,72.0,120,1
 Ioan Gruffudd,72.0,144,1
 Earl Holliman,72.0,98,1
 Ewan McGregor,72.0,144,1
 Stellan Skarsgård,72.0,155,1
 Hugh Dancy,72.0,144,1
 Huang Xiaoming,72.0,108,1
 Darren Shahlavi,72.0,108,1
 Trey Tucker,72.0,120,1
 Danny Hoch,72.0,144,1
 Qiu Yuen,72.0,99,1
 Ron Eldard,72.0,144,1
 Powers Boothe,72.0,124,1
 Rutger Hauer,72.0,124,1
 Emma Rigby,72.0,155,1
 Elijah Wood,72.0,124,1
 Dong Zhi Hua,72.0,99,1
 Frank Grillo,72.0,109,1
 Ellen Wong,72.0,112,1
 Elyas M'Barek,72.0,155,1
 David Harbour,72.0,109,1
 Fahri Yardim,72.0,155,1
 Fa Zeng Li,72.0,120,1
 Gabriel Casseus,72.0,144,1
 Jeremy Piven,72.0,144,1
 Michael Clarke Duncan,72.0,124,1
 Charlie Hofheimer,72.0,144,1
 Mary Elizabeth Winstead,72.0,112,1
 Yan Hai,72.0,120,1
 Kieran Culkin,72.0,112,1
 Natalie Martinez,72.0,109,1
 Yuen Qiu,72.0,99,1
 Kanin Ngo,72.0,108,1
 Benicio Del Toro,72.0,124,1
 Carla Gugino,72.0,120,1
Gary Oldman,72.0,120,1
 Zeljko Ivanek,72.0,144,1
Leslie Nielsen,72.0,98,1
 Calvin Ka-Sing Cheng,72.0,108,1
 Alexis Bledel,72.0,124,1
 Johnny Simmons,72.0,112,1
 Makram Khoury,72.0,155,1
 Mae Whitman,72.0,112,1
 Mickey Rourke,72.0,124,1
 Kwok Kuen Chan,72.0,99,1
Josh Hartnett,72.0,144,1
 Josh Hartnett,72.0,124,1
Michael Cera,72.0,112,1
 America Ferrara,72.0,109,1
 Brittany Murphy,72.0,124,1
 America Ferrera,72.0,109,1
 Britt Robertson,72.0,120,1
 Michael Marcus,72.0,155,1
Chow Yun Fat,72.0,120,1
 Brendan Sexton III,72.0,144,1
 Brandon Routh,72.0,112,1
 Aubrey Plaza,72.0,112,1
 Lam Chi Chung,72.0,99,1
 Cle Sloan,72.0,109,1
 Cillian Murphy,72.0,239,2
 Leung Siu Lung,72.0,99,1
Stephen Chow,72.0,99,1
 Janet Montgomery,72.0,120,1
 Lung Hsiung,72.0,120,1
 Anna Kendrick,72.0,221,2
Tom Payne,72.0,155,1
 Anne Francis,72.0,98,1
 Jason Schwartzman,72.0,112,1
Jake Gyllenhaal,72.0,109,1
